year,class,emirate,nationality,guests,nights
2001,3 star ,dubai,Other G. C. C,181607,327607
2001,2 star,dubai,Other G. C. C,236062,361579
2001,5 star,sharjah and Ajman,Other G. C. C,8444,30832
2001,4 star,sharjah and Ajman,Other G. C. C,25736,57556
2001,3 star ,sharjah and Ajman,Other G. C. C,0,0
2001,2 star,sharjah and Ajman,Other G. C. C,0,0
2001,5 star, Umm Al-Qiwain,Other G. C. C,0,0
2001,4 star, Umm Al-Qiwain,Other G. C. C,1683,6757
2001,3 star , Umm Al-Qiwain,Other G. C. C,0,0
2001,2 star, Umm Al-Qiwain,Other G. C. C,0,0
2001,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,558,1092
2001,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,1277,3408
2001,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,1295,2329
2001,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
2000,5 star,abu dhabi,Other G. C. C,18936,41870
2000,4 star,abu dhabi,Other G. C. C,29434,120119
2000,3 star ,abu dhabi,Other G. C. C,1838,2953
2000,2 star,abu dhabi,Other G. C. C,0,0
2000,5 star,dubai,Other G. C. C,137374,332811
2000,4 star,dubai,Other G. C. C,57212,104799
2000,3 star ,dubai,Other G. C. C,169123,326879
2000,2 star,dubai,Other G. C. C,238830,394592
2000,5 star,sharjah,Other G. C. C,9180,29599
2000,4 star,sharjah,Other G. C. C,23502,60337
2000,3 star ,sharjah,Other G. C. C,0,0
2000,2 star,sharjah,Other G. C. C,0,0
1999,5 star,abu dhabi,Other G. C. C,19936,40361
1999,4 star,abu dhabi,Other G. C. C,28108,107962
1999,3 star ,abu dhabi,Other G. C. C,2171,3105
1999,2 star,abu dhabi,Other G. C. C,0,0
1999,5 star,dubai,Other G. C. C,175847,370363
1999,4 star,dubai,Other G. C. C,82702,178136
1999,3 star ,dubai,Other G. C. C,64793,110236
1999,2 star,dubai,Other G. C. C,174169,283041
1999,5 star,sharjah,Other G. C. C,8920,25880
1999,4 star,sharjah,Other G. C. C,22197,56529
1999,3 star ,sharjah,Other G. C. C,0,0
1999,2 star,sharjah,Other G. C. C,0,0
1998,5 star,abu dhabi,Other G. C. C,15595,17774
1998,4 star,abu dhabi,Other G. C. C,25084,79916
1998,3 star ,abu dhabi,Other G. C. C,3062,3734
1998,2 star,abu dhabi,Other G. C. C,0,0
1998,5 star,dubai,Other G. C. C,152257,327485
1998,4 star,dubai,Other G. C. C,58775,135145
1998,3 star ,dubai,Other G. C. C,68548,132573
1998,2 star,dubai,Other G. C. C,164174,299462
1998,5 star,sharjah,Other G. C. C,5804,12976
1998,4 star,sharjah,Other G. C. C,18254,46072
1998,3 star ,sharjah,Other G. C. C,0,0
1998,2 star,sharjah,Other G. C. C,0,0
1997,5 star,abu dhabi,Other G. C. C,11931,37952
1997,4 star,abu dhabi,Other G. C. C,23081,72645
1997,3 star ,abu dhabi,Other G. C. C,3466,4196
1997,2 star,abu dhabi,Other G. C. C,0,0
1997,5 star,dubai,Other G. C. C,82039,180539
1997,4 star,dubai,Other G. C. C,56242,114705
1997,3 star ,dubai,Other G. C. C,65749,120256
1997,2 star,dubai,Other G. C. C,153041,304903
1997,5 star,sharjah,Other G. C. C,6595,22947
1997,4 star,sharjah,Other G. C. C,15817,41044
1997,3 star ,sharjah,Other G. C. C,0,0
1997,2 star,sharjah,Other G. C. C,0,0
1996,5 star,abu dhabi,Other G. C. C,16991,65070
1996,4 star,abu dhabi,Other G. C. C,23368,71409
1996,3 star ,abu dhabi,Other G. C. C,4355,5318
1996,2 star,abu dhabi,Other G. C. C,0,0
1996,5 star,dubai,Other G. C. C,99098,224012
1996,4 star,dubai,Other G. C. C,37917,85840
1996,3 star ,dubai,Other G. C. C,61259,112221
1996,2 star,dubai,Other G. C. C,169842,308225
1996,5 star,sharjah,Other G. C. C,14448,26398
1996,4 star,sharjah,Other G. C. C,14206,31693
1996,3 star ,sharjah,Other G. C. C,0,0
1996,2 star,sharjah,Other G. C. C,0,0
1995,5 star,abu dhabi,Yemen,615,1463
1995,4 star,abu dhabi,Yemen,1148,4761
1995,3 star ,abu dhabi,Yemen,172,342
1995,2 star,abu dhabi,Yemen,0,0
1995,5 star,dubai,Yemen,468,992
1995,4 star,dubai,Yemen,248,601
1995,3 star ,dubai,Yemen,1182,1729
1995,2 star,dubai,Yemen,3321,8237
1995,5 star,sharjah,Yemen,2285,4359
1995,4 star,sharjah,Yemen,314,1015
1995,3 star ,sharjah,Yemen,0,0
1995,2 star,sharjah,Yemen,0,0
1995,5 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1995,4 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1995,3 star , Ajman and Umm Al-Qiwain,Yemen,0,0
1995,2 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1995,5 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1995,4 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1995,3 star ,  Ras Al Khaima & Fujeira ,Yemen,0,0
1995,2 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1994,5 star,abu dhabi,Yemen,484,2038
1994,4 star,abu dhabi,Yemen,803,4658
1994,3 star ,abu dhabi,Yemen,122,142
1994,2 star,abu dhabi,Yemen,0,0
1994,5 star,dubai,Yemen,328,730
1994,4 star,dubai,Yemen,389,1045
1994,3 star ,dubai,Yemen,804,1417
1994,2 star,dubai,Yemen,2668,5856
1994,5 star,sharjah,Yemen,2022,3833
1994,4 star,sharjah,Yemen,224,1563
1994,3 star ,sharjah,Yemen,0,0
1994,2 star,sharjah,Yemen,0,0
