year,class,item,emirate,nationality,value
1991,2 star,guests,Ras Al Khaima & Fujeira,India,0
1991,2 star,nights,Ras Al Khaima & Fujeira,India,0
1990,5 star,guests,abu dhabi,India,2927
1990,5 star,nights,abu dhabi,India,7170
1990,4 star,guests,abu dhabi,India,5798
1990,4star,nights,abu dhabi,India,27262
1990,3 star,guests,abu dhabi,India,998
1990,3 star,nights,abu dhabi,India,2205
1990,2 star,guests,abu dhabi,India,0
1990,2 star,nights,abu dhabi,India,0
1990,5 star,guests,dubai,India,6892
1990,5 star,nights,dubai,India,16553
1990,4 star,guests,dubai,India,28958
1990,4star,nights,dubai,India,54983
1990,3 star,guests,dubai,India,11946
1990,3 star,nights,dubai,India,32785
1990,2 star,guests,dubai,India,12380
1990,2 star,nights,dubai,India,39301
1990,5 star,guests,sharjah,India,3647
1990,5 star,nights,sharjah,India,9807
1990,4 star,guests,sharjah,India,2538
1990,4star,nights,sharjah,India,13734
1990,3 star,guests,sharjah,India,0
1990,3 star,nights,sharjah,India,0
1990,2 star,guests,sharjah,India,0
1990,2 star,nights,sharjah,India,0
1990,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1990,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1990,4 star,guests,Ajman and Umm Al-Qiwain,India,0
1990,4star,nights,Ajman and Umm Al-Qiwain,India,0
1990,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1990,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1990,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1990,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1990,5 star,guests,Ras Al Khaima & Fujeira,India,0
1990,5 star,nights,Ras Al Khaima & Fujeira,India,0
1990,4 star,guests,Ras Al Khaima & Fujeira,India,0
1990,4star,nights,Ras Al Khaima & Fujeira,India,0
1990,3 star,guests,Ras Al Khaima & Fujeira,India,0
1990,3 star,nights,Ras Al Khaima & Fujeira,India,0
1990,2 star,guests,Ras Al Khaima & Fujeira,India,0
1990,2 star,nights,Ras Al Khaima & Fujeira,India,0
1989,5 star,guests,abu dhabi,India,3005
1989,5 star,nights,abu dhabi,India,5709
1989,4 star,guests,abu dhabi,India,5009
1989,4star,nights,abu dhabi,India,12582
1989,3 star,guests,abu dhabi,India,0
1989,3 star,nights,abu dhabi,India,0
1989,2 star,guests,abu dhabi,India,0
1989,2 star,nights,abu dhabi,India,0
1989,5 star,guests,dubai,India,7650
1989,5 star,nights,dubai,India,18811
1989,4 star,guests,dubai,India,29313
1989,4star,nights,dubai,India,62628
1989,3 star,guests,dubai,India,11582
1989,3 star,nights,dubai,India,35361
1989,2 star,guests,dubai,India,13470
1989,2 star,nights,dubai,India,36589
1989,5 star,guests,sharjah,India,2018
1989,5 star,nights,sharjah,India,6047
1989,4 star,guests,sharjah,India,2111
1989,4star,nights,sharjah,India,13641
1989,3 star,guests,sharjah,India,0
1989,3 star,nights,sharjah,India,0
1989,2 star,guests,sharjah,India,0
1989,2 star,nights,sharjah,India,0
1989,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1989,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1989,4 star,guests,Ajman and Umm Al-Qiwain,India,0
1989,4star,nights,Ajman and Umm Al-Qiwain,India,0
1989,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1989,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1989,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1989,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1989,5 star,guests,Ras Al Khaima & Fujeira,India,0
